device_id,name,manufacturer,model,area,label_names,labels_direct_on_device,labels_inherited_from_entities,label_count,missing_labels,rule_failures,disabled_by,entry_type,entity_count,config_entries
e7d9ee0ca461b3dc94e7abdf41d27f86,Keuken - plafondlicht (ui),RFLink,newkaku,Keuken,"Light, RF device, Switch","Light, RF device, Switch",,3,False,missing category: brand,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
03baee986391ece45d53bc1a7ffed9f6,Tafel (ui),RFLink,newkaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
6c1dba942237f613ea480b75609476ec,Deken RR (ui),RFLink,newkaku,Slaapkamer R/R,"RF device, Switch","RF device, Switch",,2,False,missing category: brand,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
3a3b23ea312bcce0a5da4b0cd7c90c16,Deken - knop (ui),RFLink,newkaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
820e624c20dc5f2a3182a672e5544a6d,Rolluik J/D (ui),RFLink,newkaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
06efa07857884779ff6c9ec772642c5c,Rolluik R/R (ui),RFLink,newkaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
d8d1686895cf260f0071af4376630054,Vijver (ui),RFLink,Cresta,Veranda,"RF device, Thermostat","RF device, Thermostat",,2,False,missing category: brand,,,3,01KXRE5F78QNB5EZZ69FVDXGBS
3be46574a6974b338fd2cb331e210328,Veranda (ui),RFLink,Cresta,Veranda,"RF device, Thermostat","RF device, Thermostat",,2,False,missing category: brand,,,3,01KXRE5F78QNB5EZZ69FVDXGBS
504c651543f6dcebe9dda5d8bd1e4a60,Achterdeurbel (ui),RFLink,newkaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
7c1ace7253a5aa710dede06d696d8f63,Voordeurbel (ui),RFLink,newkaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
1125799b363becbbb08ea5f947b9b87c,Badkamer - buiten (ui),RFLink,NewKaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
72f75e4048ff8788a8850dd2c9e6fd75,Darius smartphone,samsung,SM-S931B,Mobiel,"Mobile, Samsung, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi",,4,False,missing category: function; uncategorized label(s): Smartphone,,,134,01KXX7G3Q260PEVTV35EGW2QF5
f64642c9ad381d5e77a14137a4c782f5,Badkamer - binnen (ui),RFLink,NewKaku,,,,,0,True,no labels at all,,,1,01KXRE5F78QNB5EZZ69FVDXGBS
1341c1745afa4e98f0559ec71422871e,Whisper,Official apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
01d17d62ee5a3cde89e558e63b3fa2be,Lovelace Card Templater,gadgetchnnel,plugin,,,,,0,True,no labels at all,,service,2,e0a6c4b465ceb87ead43206b08d64131
ed547a771bfb2ca0149ac99f4ad24f40,TIMMERFLOTTE temp/hmd sensor,IKEA of Sweden,TIMMERFLOTTE temp/hmd sensor,Achtertuin,,,,0,True,no labels at all,,,17,01KGJC3CYHAJMT00H6CKK3M3BR
117206864f353d90b8d39a0d7baec6a9,Veranda thermometer,IKEA of Sweden,TIMMERFLOTTE temp/hmd sensor,Veranda,"IKEA, Matter, Thermostat, Thread","IKEA, Matter, Thermostat, Thread",,4,False,,,,17,01KGJC3CYHAJMT00H6CKK3M3BR
