entity_id,name,domain,platform,device_id,device_name,area,area_source,entity_category,label_names,label_count,missing_labels,rule_failures,disabled_by,hidden_by
select.verandalamp_links_power_on_behavior,Power-on behavior,select,mqtt,3ac7e127c2849814044c5f4abbdb76b4,Verandalamp-links,Veranda,device,config,,0,True,no labels at all,,
switch.verandalamp_links_child_lock,Child lock,switch,mqtt,3ac7e127c2849814044c5f4abbdb76b4,Verandalamp-links,Veranda,device,config,,0,True,no labels at all,,
switch.verandalamp_links_led_enable,Led enable,switch,mqtt,3ac7e127c2849814044c5f4abbdb76b4,Verandalamp-links,Veranda,device,config,,0,True,no labels at all,,
button.verandalamp_links_identify,Identify,button,mqtt,3ac7e127c2849814044c5f4abbdb76b4,Verandalamp-links,Veranda,device,config,,0,True,no labels at all,,
sensor.0x348d13fffe0850e1_linkquality,Linkquality,sensor,mqtt,3ac7e127c2849814044c5f4abbdb76b4,Verandalamp-links,Veranda,device,diagnostic,,0,True,no labels at all,integration,
update.verandalamp_links,,update,mqtt,3ac7e127c2849814044c5f4abbdb76b4,Verandalamp-links,Veranda,device,config,,0,True,no labels at all,,
switch.verandalamp_rechts,,switch,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,,,0,True,no labels at all,,
select.verandalamp_rechts_power_on_behavior,Power-on behavior,select,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,config,,0,True,no labels at all,,
switch.verandalamp_rechts_child_lock,Child lock,switch,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,config,,0,True,no labels at all,,
switch.verandalamp_rechts_led_enable,Led enable,switch,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,config,,0,True,no labels at all,,
button.verandalamp_rechts_identify,Identify,button,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,config,,0,True,no labels at all,,
sensor.0x348d13fffe3d6cb9_linkquality,Linkquality,sensor,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,diagnostic,,0,True,no labels at all,integration,
update.verandalamp_rechts,,update,mqtt,a0ba24ef749d915f85d940c40a7b420f,Verandalamp-rechts,Veranda,device,config,,0,True,no labels at all,,
switch.veranda_ventilator,,switch,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,,,0,True,no labels at all,,
select.veranda_ventilator_power_on_behavior,Power-on behavior,select,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,config,,0,True,no labels at all,,
switch.veranda_ventilator_child_lock,Child lock,switch,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,config,,0,True,no labels at all,,
switch.veranda_ventilator_led_enable,Led enable,switch,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,config,,0,True,no labels at all,,
button.veranda_ventilator_identify,Identify,button,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,config,,0,True,no labels at all,,
