entity_id,domain,full_entity_id
achterdeur_sensor_contact,binary_sensor,binary_sensor.achterdeur_sensor_contact
achterdeur_sensor_tamper,binary_sensor,binary_sensor.achterdeur_sensor_tamper
achterdeurbel,binary_sensor,binary_sensor.achterdeurbel
assist_microphone_assist_in_progress,binary_sensor,binary_sensor.assist_microphone_assist_in_progress
backups_stale,binary_sensor,binary_sensor.backups_stale
bamboe_achtertuin_dry,binary_sensor,binary_sensor.bamboe_achtertuin_dry
bamboe_tuin_dry,binary_sensor,binary_sensor.bamboe_tuin_dry
bruidsplant_achtertuin_dry,binary_sensor,binary_sensor.bruidsplant_achtertuin_dry
core_configuratorhassio_is_present,binary_sensor,binary_sensor.core_configuratorhassio_is_present
core_configuratorhassio_is_present_2,binary_sensor,binary_sensor.core_configuratorhassio_is_present_2
core_configuratorhassio_is_present_3,binary_sensor,binary_sensor.core_configuratorhassio_is_present_3
core_configuratorhassio_is_present_4,binary_sensor,binary_sensor.core_configuratorhassio_is_present_4
core_configuratorhassio_is_present_5,binary_sensor,binary_sensor.core_configuratorhassio_is_present_5
core_mariadbhassio_is_present,binary_sensor,binary_sensor.core_mariadbhassio_is_present
core_mariadbhassio_is_present_2,binary_sensor,binary_sensor.core_mariadbhassio_is_present_2
core_mariadbhassio_is_present_3,binary_sensor,binary_sensor.core_mariadbhassio_is_present_3
core_mariadbhassio_is_present_4,binary_sensor,binary_sensor.core_mariadbhassio_is_present_4
core_mariadbhassio_is_present_5,binary_sensor,binary_sensor.core_mariadbhassio_is_present_5
core_mosquittohassio_is_present,binary_sensor,binary_sensor.core_mosquittohassio_is_present
core_mosquittohassio_is_present_2,binary_sensor,binary_sensor.core_mosquittohassio_is_present_2
core_mosquittohassio_is_present_3,binary_sensor,binary_sensor.core_mosquittohassio_is_present_3
core_mosquittohassio_is_present_4,binary_sensor,binary_sensor.core_mosquittohassio_is_present_4
core_mosquittohassio_is_present_5,binary_sensor,binary_sensor.core_mosquittohassio_is_present_5
daikin_zolderkleinsensenl_is_present,binary_sensor,binary_sensor.daikin_zolderkleinsensenl_is_present
darius_dockkleinsensenl_is_present,binary_sensor,binary_sensor.darius_dockkleinsensenl_is_present
darius_s_galaxy_s20_fe_5g_presence,binary_sensor,binary_sensor.darius_s_galaxy_s20_fe_5g_presence
db21ed7f_filebrowserhassio_is_present,binary_sensor,binary_sensor.db21ed7f_filebrowserhassio_is_present
db21ed7f_filebrowserhassio_is_present_2,binary_sensor,binary_sensor.db21ed7f_filebrowserhassio_is_present_2
db21ed7f_filebrowserhassio_is_present_3,binary_sensor,binary_sensor.db21ed7f_filebrowserhassio_is_present_3
db21ed7f_filebrowserhassio_is_present_4,binary_sensor,binary_sensor.db21ed7f_filebrowserhassio_is_present_4
