entity_id,state,domain,friendly_name
input_button.badkamer_ir_timer_short,2026-03-02T19:39:15.156830+00:00,input_button,Badkamer IR timer short
input_button.badkamer_ir_timer_long,2026-05-02T18:21:35.677681+00:00,input_button,Badkamer IR timer long
input_select.log_target,initializing,input_select,Log target
input_select.log_level,warning,input_select,Log level
input_select.ev_charging_modes_selector_buttons,manual_to_green,input_select,EV charging: modes selector (buttons)
zone.home,4,zone,KleinAssistant
person.darius,home,person,Darius
person.kleintab,unknown,person,KleinTab
person.julius,home,person,Julius
person.rudi,home,person,Rudi
person.rolien,home,person,Rolien
light.hal_boven_plafondlamp,unavailable,light,Hal boven plafondlamp
light.toilet_beneden,unavailable,light,Toilet beneden
openplantbook.search_result,0,openplantbook,
update.badkamerlicht_firmware,off,update,Badkamerlicht Firmware
button.badkamerlicht_identify,unknown,button,Badkamerlicht Identify
light.badkamerlicht,on,light,Badkamerlicht
number.badkamerlicht_on_level,255,number,Badkamerlicht On level
number.badkamerlicht_power_on_level,255,number,Badkamerlicht Power-on level
number.badkamerlicht_on_transition_time,0.0,number,Badkamerlicht On transition time
number.badkamerlicht_off_transition_time,0.0,number,Badkamerlicht Off transition time
number.badkamerlicht_on_off_transition_time,0.0,number,Badkamerlicht On/Off transition time
select.badkamerlicht_power_on_behavior_on_startup,on,select,Badkamerlicht Power-on behavior
update.schemerlamp_firmware,off,update,Schemerlamp Firmware
button.schemerlamp_identify,unknown,button,Schemerlamp Identify
light.schemerlamp_2,on,light,Schemerlamp
number.schemerlamp_on_level,255,number,Schemerlamp On level
number.schemerlamp_power_on_level,255,number,Schemerlamp Power-on level
number.schemerlamp_on_transition_time,0.0,number,Schemerlamp On transition time
number.schemerlamp_off_transition_time,0.0,number,Schemerlamp Off transition time
number.schemerlamp_on_off_transition_time,0.0,number,Schemerlamp On/Off transition time
select.schemerlamp_power_on_behavior_on_startup,on,select,Schemerlamp Power-on behavior
update.wijnrek_lamp_firmware,off,update,Wijnrek lamp Firmware
button.wijnrek_lamp_identify,unknown,button,Wijnrek lamp Identify
light.wijnrek_lamp,on,light,Wijnrek lamp
number.wijnrek_lamp_on_level,255,number,Wijnrek lamp On level
number.wijnrek_lamp_power_on_level,255,number,Wijnrek lamp Power-on level
number.wijnrek_lamp_on_transition_time,0.0,number,Wijnrek lamp On transition time
number.wijnrek_lamp_off_transition_time,0.0,number,Wijnrek lamp Off transition time
number.wijnrek_lamp_on_off_transition_time,0.0,number,Wijnrek lamp On/Off transition time
select.wijnrek_lamp_power_on_behavior_on_startup,on,select,Wijnrek lamp Power-on behavior
update.hal_boven_plafondlamp_1_firmware,unavailable,update,Hal boven - plafondlamp 1 Firmware
button.hal_boven_plafondlamp_1_identify,unavailable,button,Hal boven - plafondlamp 1 Identify
light.hal_boven_plafondlamp_1,unavailable,light,Hal boven - plafondlamp 1
number.hal_boven_plafondlamp_1_on_level,unavailable,number,Hal boven - plafondlamp 1 On level
number.hal_boven_plafondlamp_1_power_on_level,unavailable,number,Hal boven - plafondlamp 1 Power-on level
number.hal_boven_plafondlamp_1_on_transition_time,unavailable,number,Hal boven - plafondlamp 1 On transition time
number.hal_boven_plafondlamp_1_off_transition_time,unavailable,number,Hal boven - plafondlamp 1 Off transition time
number.hal_boven_plafondlamp_1_on_off_transition_time,unavailable,number,Hal boven - plafondlamp 1 On/Off transition time
select.hal_boven_plafondlamp_1_power_on_behavior_on_startup,unavailable,select,Hal boven - plafondlamp 1 Power-on behavior
update.hal_boven_plafondlamp_2_firmware,unavailable,update,Hal boven - plafondlamp 2 Firmware
button.hal_boven_plafondlamp_2_identify,unavailable,button,Hal boven - plafondlamp 2 Identify
light.hal_boven_plafondlamp_2,unavailable,light,Hal boven - plafondlamp 2
number.hal_boven_plafondlamp_2_on_level,unavailable,number,Hal boven - plafondlamp 2 On level
number.hal_boven_plafondlamp_2_power_on_level,unavailable,number,Hal boven - plafondlamp 2 Power-on level
number.hal_boven_plafondlamp_2_on_transition_time,unavailable,number,Hal boven - plafondlamp 2 On transition time
number.hal_boven_plafondlamp_2_off_transition_time,unavailable,number,Hal boven - plafondlamp 2 Off transition time
number.hal_boven_plafondlamp_2_on_off_transition_time,unavailable,number,Hal boven - plafondlamp 2 On/Off transition time
select.hal_boven_plafondlamp_2_power_on_behavior_on_startup,unavailable,select,Hal boven - plafondlamp 2 Power-on behavior
update.hal_boven_plafondlamp_3_firmware,unavailable,update,Hal boven - plafondlamp 3 Firmware
button.hal_boven_plafondlamp_3_identify,unavailable,button,Hal boven - plafondlamp 3 Identify
light.hal_boven_plafondlamp_3,unavailable,light,Hal boven - plafondlamp 3
number.hal_boven_plafondlamp_3_on_level,unavailable,number,Hal boven - plafondlamp 3 On level
number.hal_boven_plafondlamp_3_power_on_level,unavailable,number,Hal boven - plafondlamp 3 Power-on level
number.hal_boven_plafondlamp_3_on_transition_time,unavailable,number,Hal boven - plafondlamp 3 On transition time
number.hal_boven_plafondlamp_3_off_transition_time,unavailable,number,Hal boven - plafondlamp 3 Off transition time
number.hal_boven_plafondlamp_3_on_off_transition_time,unavailable,number,Hal boven - plafondlamp 3 On/Off transition time
select.hal_boven_plafondlamp_3_power_on_behavior_on_startup,unavailable,select,Hal boven - plafondlamp 3 Power-on behavior
update.toilet_beneden_plafondlamp_1_firmware,unavailable,update,Toilet beneden - plafondlamp 1 Firmware
button.toilet_beneden_plafondlamp_1_identify,unavailable,button,Toilet beneden - plafondlamp 1 Identify
light.toilet_beneden_plafondlamp_1,unavailable,light,Toilet beneden - plafondlamp 1
number.toilet_beneden_plafondlamp_1_on_level,unavailable,number,Toilet beneden - plafondlamp 1 On level
number.toilet_beneden_plafondlamp_1_power_on_level,unavailable,number,Toilet beneden - plafondlamp 1 Power-on level
number.toilet_beneden_plafondlamp_1_on_transition_time,unavailable,number,Toilet beneden - plafondlamp 1 On transition time
number.toilet_beneden_plafondlamp_1_off_transition_time,unavailable,number,Toilet beneden - plafondlamp 1 Off transition time
number.toilet_beneden_plafondlamp_1_on_off_transition_time,unavailable,number,Toilet beneden - plafondlamp 1 On/Off transition time
select.toilet_beneden_plafondlamp_1_power_on_behavior_on_startup,unavailable,select,Toilet beneden - plafondlamp 1 Power-on behavior
update.toilet_beneden_plafondlamp_2_firmware,unavailable,update,Toilet beneden - plafondlamp 2 Firmware
button.toilet_beneden_plafondlamp_2_identify,unavailable,button,Toilet beneden - plafondlamp 2 Identify
light.toilet_beneden_plafondlamp_2,unavailable,light,Toilet beneden - plafondlamp 2
number.toilet_beneden_plafondlamp_2_on_level,unavailable,number,Toilet beneden - plafondlamp 2 On level
number.toilet_beneden_plafondlamp_2_power_on_level,unavailable,number,Toilet beneden - plafondlamp 2 Power-on level
number.toilet_beneden_plafondlamp_2_on_transition_time,unavailable,number,Toilet beneden - plafondlamp 2 On transition time
number.toilet_beneden_plafondlamp_2_off_transition_time,unavailable,number,Toilet beneden - plafondlamp 2 Off transition time
number.toilet_beneden_plafondlamp_2_on_off_transition_time,unavailable,number,Toilet beneden - plafondlamp 2 On/Off transition time
select.toilet_beneden_plafondlamp_2_power_on_behavior_on_startup,unavailable,select,Toilet beneden - plafondlamp 2 Power-on behavior
update.nachtkastjelamp_firmware,unavailable,update,Nachtkastjelamp Firmware
button.nachtkastjelamp_identify,unavailable,button,Nachtkastjelamp Identify
light.nachtkastjelamp,unavailable,light,Nachtkastjelamp
number.nachtkastjelamp_on_level,unavailable,number,Nachtkastjelamp On level
number.nachtkastjelamp_power_on_level,unavailable,number,Nachtkastjelamp Power-on level
number.nachtkastjelamp_on_transition_time,unavailable,number,Nachtkastjelamp On transition time
number.nachtkastjelamp_off_transition_time,unavailable,number,Nachtkastjelamp Off transition time
number.nachtkastjelamp_on_off_transition_time,unavailable,number,Nachtkastjelamp On/Off transition time
select.nachtkastjelamp_power_on_behavior,unavailable,select,Nachtkastjelamp Power-on behavior
update.kajplats_e27_cws_globe_1055lm_firmware,unavailable,update,KAJPLATS E27 CWS globe 1055lm Firmware
button.kajplats_e27_cws_globe_1055lm_identify,unavailable,button,KAJPLATS E27 CWS globe 1055lm Identify
light.kajplats_e27_cws_globe_1055lm,unavailable,light,KAJPLATS E27 CWS globe 1055lm
number.kajplats_e27_cws_globe_1055lm_on_level,unavailable,number,KAJPLATS E27 CWS globe 1055lm On level
number.kajplats_e27_cws_globe_1055lm_power_on_level,unavailable,number,KAJPLATS E27 CWS globe 1055lm Power-on level
number.kajplats_e27_cws_globe_1055lm_on_transition_time,unavailable,number,KAJPLATS E27 CWS globe 1055lm On transition time
number.kajplats_e27_cws_globe_1055lm_off_transition_time,unavailable,number,KAJPLATS E27 CWS globe 1055lm Off transition time
number.kajplats_e27_cws_globe_1055lm_on_off_transition_time,unavailable,number,KAJPLATS E27 CWS globe 1055lm On/Off transition time
select.kajplats_e27_cws_globe_1055lm_power_on_behavior,unavailable,select,KAJPLATS E27 CWS globe 1055lm Power-on behavior
update.donut_firmware,off,update,Donut Firmware
button.donut_identify,2026-04-16T14:54:54.420406+00:00,button,Donut Identify
light.donut,on,light,Donut
number.donut_on_level,255,number,Donut On level
number.donut_power_on_level,255,number,Donut Power-on level
number.donut_on_transition_time,0.0,number,Donut On transition time
number.donut_off_transition_time,0.0,number,Donut Off transition time
number.donut_on_off_transition_time,0.0,number,Donut On/Off transition time
select.donut_power_on_behavior,off,select,Donut Power-on behavior
sensor.tuindeur_battery,100,sensor,Tuindeur Battery
sensor.tuindeur_battery_voltage,1.477,sensor,Tuindeur Battery voltage
sensor.tuindeur_battery_type,AAA,sensor,Tuindeur Battery type
update.tuindeur_firmware,off,update,Tuindeur Firmware
binary_sensor.tuindeur_door,off,binary_sensor,Tuindeur Door
button.tuindeur_identify,unknown,button,Tuindeur Identify
sensor.bilresa_scroll_wheel_battery,unavailable,sensor,BILRESA scroll wheel Battery
sensor.bilresa_scroll_wheel_battery_voltage,unavailable,sensor,BILRESA scroll wheel Battery voltage
sensor.bilresa_scroll_wheel_battery_type,unavailable,sensor,BILRESA scroll wheel Battery type
update.bilresa_scroll_wheel_firmware,unavailable,update,BILRESA scroll wheel Firmware
event.bilresa_scroll_wheel_button_1,unavailable,event,BILRESA scroll wheel Button (1)
event.bilresa_scroll_wheel_button_2,unavailable,event,BILRESA scroll wheel Button (2)
event.bilresa_scroll_wheel_button_3,unavailable,event,BILRESA scroll wheel Button (3)
event.bilresa_scroll_wheel_button_4,unavailable,event,BILRESA scroll wheel Button (4)
event.bilresa_scroll_wheel_button_5,unavailable,event,BILRESA scroll wheel Button (5)
event.bilresa_scroll_wheel_button_6,unavailable,event,BILRESA scroll wheel Button (6)
event.bilresa_scroll_wheel_button_7,unavailable,event,BILRESA scroll wheel Button (7)
event.bilresa_scroll_wheel_button_8,unavailable,event,BILRESA scroll wheel Button (8)
event.bilresa_scroll_wheel_button_9,unavailable,event,BILRESA scroll wheel Button (9)
sensor.bilresa_scroll_wheel_battery_2,100,sensor,BILRESA scroll wheel Battery
sensor.bilresa_scroll_wheel_battery_voltage_2,3.0,sensor,BILRESA scroll wheel Battery voltage
sensor.bilresa_scroll_wheel_battery_type_2,AAA,sensor,BILRESA scroll wheel Battery type
update.bilresa_scroll_wheel_firmware_2,off,update,BILRESA scroll wheel Firmware
button.bilresa_scroll_wheel_identify_1,unknown,button,BILRESA scroll wheel Identify (1)
event.bilresa_scroll_wheel_button_1_2,unknown,event,BILRESA scroll wheel Button (1)
event.bilresa_scroll_wheel_button_2_2,unknown,event,BILRESA scroll wheel Button (2)
event.bilresa_scroll_wheel_button_3_2,unknown,event,BILRESA scroll wheel Button (3)
event.bilresa_scroll_wheel_button_4_2,unknown,event,BILRESA scroll wheel Button (4)
event.bilresa_scroll_wheel_button_5_2,unknown,event,BILRESA scroll wheel Button (5)
event.bilresa_scroll_wheel_button_6_2,unknown,event,BILRESA scroll wheel Button (6)
event.bilresa_scroll_wheel_button_7_2,unknown,event,BILRESA scroll wheel Button (7)
event.bilresa_scroll_wheel_button_8_2,unknown,event,BILRESA scroll wheel Button (8)
event.bilresa_scroll_wheel_button_9_2,unknown,event,BILRESA scroll wheel Button (9)
sensor.bilresa_dual_button_battery,100,sensor,BILRESA dual button Battery
sensor.bilresa_dual_button_battery_voltage,3.01,sensor,BILRESA dual button Battery voltage
sensor.bilresa_dual_button_battery_type,AAA,sensor,BILRESA dual button Battery type
update.bilresa_dual_button_firmware,off,update,BILRESA dual button Firmware
button.bilresa_dual_button_identify_1,unknown,button,BILRESA dual button Identify (1)
event.bilresa_dual_button_button_1,unknown,event,BILRESA dual button Button (1)
event.bilresa_dual_button_button_2,unknown,event,BILRESA dual button Button (2)
sensor.slaapkamerraam_rr_battery,100,sensor,Slaapkamerraam RR Battery
sensor.slaapkamerraam_rr_battery_voltage,1.454,sensor,Slaapkamerraam RR Battery voltage
sensor.slaapkamerraam_rr_battery_type,AAA,sensor,Slaapkamerraam RR Battery type
update.slaapkamerraam_rr_firmware,off,update,Slaapkamerraam RR Firmware
binary_sensor.slaapkamerraam_rr_door,off,binary_sensor,Slaapkamerraam RR Door
button.slaapkamerraam_rr_identify,unknown,button,Slaapkamerraam RR Identify
sensor.myggbett_door_window_sensor_battery_2,100,sensor,Unassigned Battery
sensor.myggbett_door_window_sensor_battery_voltage_2,1.452,sensor,Unassigned Battery voltage
sensor.myggbett_door_window_sensor_battery_type_2,AAA,sensor,Unassigned Battery type
update.myggbett_door_window_sensor_firmware_2,off,update,Unassigned Firmware
binary_sensor.myggbett_door_window_sensor_door_2,on,binary_sensor,Unassigned Door
button.myggbett_door_window_sensor_identify_2,unknown,button,Unassigned Identify
sensor.huiskamerdeur_battery,100,sensor,Huiskamerdeur Battery
sensor.huiskamerdeur_battery_voltage,1.464,sensor,Huiskamerdeur Battery voltage
sensor.huiskamerdeur_battery_type,AAA,sensor,Huiskamerdeur Battery type
update.huiskamerdeur_firmware,off,update,Huiskamerdeur Firmware
binary_sensor.huiskamerdeur_door,on,binary_sensor,Huiskamerdeur Door
button.huiskamerdeur_identify,unknown,button,Huiskamerdeur Identify
sensor.voordeur_battery,100,sensor,Voordeur Battery
sensor.voordeur_battery_voltage,1.469,sensor,Voordeur Battery voltage
sensor.voordeur_battery_type,AAA,sensor,Voordeur Battery type
update.voordeur_firmware,off,update,Voordeur Firmware
binary_sensor.voordeur_door,off,binary_sensor,Voordeur Door
button.voordeur_identify,unknown,button,Voordeur Identify
update.bollamp_firmware,off,update,Bollamp Firmware
button.bollamp_identify,unknown,button,Bollamp Identify
light.bollamp,on,light,Bollamp
number.bollamp_on_level,255,number,Bollamp On level
number.bollamp_power_on_level,255,number,Bollamp Power-on level
number.bollamp_on_transition_time,0.0,number,Bollamp On transition time
number.bollamp_off_transition_time,0.0,number,Bollamp Off transition time
number.bollamp_on_off_transition_time,0.0,number,Bollamp On/Off transition time
select.bollamp_power_on_behavior_on_startup,on,select,Bollamp Power-on behavior
sensor.bilresa_scroll_wheel_battery_3,94,sensor,Scroll wheel nachtkastje Battery
sensor.bilresa_scroll_wheel_battery_voltage_3,2.96,sensor,Scroll wheel nachtkastje Battery voltage
sensor.bilresa_scroll_wheel_battery_type_3,AAA,sensor,Scroll wheel nachtkastje Battery type
