Name,HA Device ID,Area,Manufacturer,Model,SW Version,HW Version,Labels,Serial Number,Has Identify Button,Ambiguous Twin,Matter Node ID,Matter Unique ID,Fabric ID,Fabric Label,Network Type,Available,MAC Address,Thread Role,Thread Network,Thread Channel,Thread PAN ID,Thread Ext PAN ID,IPv6 Addresses
Huiskamerdeur,e17056e82687d602bb61f09769e79574,living_room,IKEA of Sweden,MYGGBETT door/window sensor,1.1.4,P2.0,"Thread, IKEA, Matter, Sensor",1168955704637291091,yes,no,16,deviceid_B6D89A03B3655B10-9595959595959510-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,ce:4d:43:5e:bb:0f:45:3a,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:12d6:9411:a161:fd48
KAJPLATS E27 CWS globe 1055lm,f216e37629dad672fa362f7ab58b7e15,unknown,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.1.0,P2.0,—,—,yes,yes,28,deviceid_B6D89A03B3655B10-959595959595951C-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,c2:a7:9e:1b:de:d2:39:9f,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:67b9:8df:337b:520
Nachtkastjelamp,4889dbae43b9ec5d7846766fd5957d25,bedroom,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,26,deviceid_B6D89A03B3655B10-959595959595951A-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,9a:d8:08:74:55:a3:54:59,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:310d:1ba6:8383:90d
Schemerlamp,302375917dfc42619a19124d4cda57b7,living_room,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,19,deviceid_B6D89A03B3655B10-9595959595959513-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,3e:7a:25:a8:e3:4d:a1:79,Router-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:df3e:337b:157e:70e1
Scroll wheel nachtkastje,1e1976649e7c1df4a78153cc491e88c6,bedroom,IKEA of Sweden,BILRESA scroll wheel,1.9.15,P2.0,"Thread, IKEA, Matter, Switch",103597959584E948,yes,no,34,serial_103597959584E948,—,MyAssistant,thread,yes,fe:af:d1:89:5c:40:ef:07,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:5181:aec9:e545:8371
Shelly 1 Gen4,7b6ba4a63e06bbf0bc5023c2f6764fdc,—,Shelly,Shelly 1 Gen4,1.3.0-s2,v4,—,—,no,no,38,deviceid_B6D89A03B3655B10-9595959595959526-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,wifi,yes,a0:85:e3:b9:68:cc,—,KleinLess,—,—,—,fe80::a285:e3ff:feb9:68cc; fdd7:6f71:ce3a:1e4c:a285:e3ff:feb9:68cc; 192.168.178.195
Slaapkamerraam RR,6aec27084b51b43c2abe566b97a11f5e,bedroom,IKEA of Sweden,MYGGBETT door/window sensor,1.1.4,P2.0,"Thread, IKEA, Matter, Sensor",1168955704637291025,yes,no,33,serial_1168955704637291025,—,MyAssistant,thread,yes,c6:b1:fd:2d:84:67:7b:49,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:36b4:d45a:cf54:64ee
Toilet beneden - plafondlamp 1,bcb51227a88e5fcb5fc68c6ac3face21,toilet_beneden,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,24,deviceid_B6D89A03B3655B10-9595959595959518-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,4e:2d:43:22:ad:22:47:a1,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:56cc:1edf:3612:3908
Toilet beneden - plafondlamp 2,a733afac6d56b20a8c5c567586b8a937,toilet_beneden,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.1.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,25,deviceid_B6D89A03B3655B10-9595959595959519-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,no,a6:12:33:85:89:eb:c9:e3,End Device,home-assistant,13,78c2,3a8e1e4cd76f71ce,
Tuindeur,2f4c636879167e19f1bc8e7902d1ec70,living_room,IKEA of Sweden,MYGGBETT door/window sensor,1.1.4,P2.0,"Thread, IKEA, Matter, Sensor",1168955704637276921,yes,no,11,deviceid_B6D89A03B3655B10-959595959595950B-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,16:d3:6f:8b:87:74:7d:71,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:5ba9:718d:b9b8:bf91
Unassigned,91cfaea656c580648ac873f9e91dabf6,unknown,IKEA of Sweden,MYGGBETT door/window sensor,1.1.4,P2.0,"Thread, IKEA, Matter, Sensor",1168955704637243936,yes,no,14,deviceid_B6D89A03B3655B10-959595959595950E-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,9a:67:f9:61:41:01:37:74,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:813f:5f94:7e9e:1313
Veranda (TF1),117206864f353d90b8d39a0d7baec6a9,veranda,IKEA of Sweden,TIMMERFLOTTE temp/hmd sensor,1.0.21,P2.1,"Thread, IKEA, Matter, Thermostat",—,yes,no,37,deviceid_B6D89A03B3655B10-9595959595959525-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,9e:1d:01:0f:fc:87:79:50,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:bbcd:c61a:effc:25d1
Voordeur,113bfaed9b050ba9e47d2a349581d3ad,hal_beneden,IKEA of Sweden,MYGGBETT door/window sensor,1.1.4,P2.0,"Thread, IKEA, Matter, Sensor",1168955704637291061,yes,no,17,deviceid_B6D89A03B3655B10-9595959595959511-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,82:01:0c:49:16:d0:8b:5a,Sleepy-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:c507:f5d:6a1c:8e56
Wijnrek lamp,a9fcfd867c59485dc2b43efc0aa1c3a7,living_room,IKEA of Sweden,KAJPLATS E27 CWS globe 1055lm,1.2.0,P2.0,"Thread, IKEA, Matter, Light",—,yes,no,20,deviceid_B6D89A03B3655B10-9595959595959514-MatterNodeDevice,B6D89A03B3655B10,MyAssistant,thread,yes,6a:1a:52:1b:78:28:fe:b8,Router-ED,home-assistant,13,78c2,3a8e1e4cd76f71ce,fdc4:4ca0:e68c:1:a95a:93da:4c88:50de
